title,average_score,num_scores
GTO: Final Chapter - Farewell Onizuka! Graduation Special,8.095744680851064,47
Drunken Master,8.094262295081966,122
The Chronicles of Evil,8.09375,32
Glove,8.093023255813954,43
I'll Die Soon,8.08974358974359,39
Shaolin,8.08974358974359,78
Lucky Romance,8.087523277467412,537
Date - Koi to wa Donna Mono Kashira,8.086666666666666,150
Tiger Cubs,8.086206896551724,29
Rob B Hood,8.084745762711865,118
Cain and Abel,8.081460674157304,178
Thank You,8.081395348837209,215
Code Blue,8.080327868852459,305
Drama Special 2015: What is the Ghost Doing?,8.079787234042554,94
The Devil,8.07909604519774,177
Mother Game,8.078947368421053,38
Good Friends,8.078740157480315,127
Ugly Duckling Series: Perfect Match Special,8.076923076923077,26
Omotesando Koukou Gasshoubu,8.076923076923077,39
Legend of Lu Zhen,8.075949367088608,79
Legend of the Condor Heroes,8.074324324324325,74
"Friend, Our Legend ",8.074074074074074,27
The Three Female Runaways,8.073529411764707,34
GTO: Remake Season 2,8.073529411764707,68
Emergency Couple,8.0724197745013,1153
Itazura na Kiss - Love in Tokyo,8.071502590673575,965
Evasive Inquiry Agency,8.071428571428571,49
Sympathy For Lady Vengeance,8.071428571428571,182
Someone Like You,8.070866141732283,127
Somewhere Only We Know,8.070833333333333,120
Plus Nine Boys,8.070175438596491,285
Mrs. Cop,8.068548387096774,124
Tokyo DOGS,8.067632850241546,414
The Accidental Detective,8.066666666666666,60
Infernal Affairs II,8.066666666666666,45
ROOKIES: Graduation,8.065,100
Whistle Blower,8.064516129032258,31
K.O.3an Guo,8.064516129032258,31
Seven Days: Monday - Thursday,8.062893081761006,159
Forensic Heroes II,8.06060606060606,33
Make It Right: The Series,8.05921052631579,76
Yowakutemo Katemasu,8.058823529411764,34
Snowpiercer,8.058823529411764,51
Drama Special Series Season 2: The True Colors,8.055555555555555,27
Lives of Omission,8.053571428571429,28
HERO 2,8.053571428571429,56
Wild Heroes,8.053571428571429,28
Space Brothers,8.053191489361701,47
Slow Video,8.053191489361701,47
ST Keishichou Kagaku Tokusou-han,8.05084745762712,59
GTO: Remake Season 1,8.049407114624506,253
I Want To Become A Hard Persimmon,8.048780487804878,41
Zettai Reido 2,8.048780487804878,41
Drama Special Series Season 3: Adolescence Medley,8.04780361757106,387
Chronicle of a Blood Merchant,8.047619047619047,42
Pitch-black Darkness,8.047619047619047,42
Chungking Express,8.047619047619047,63
My Amazing Boyfriend,8.046610169491526,236
Sad Love Story,8.045454545454545,132
13 Assassins,8.045454545454545,132
Atami no Sousakan,8.044444444444444,45
Kageri Yuku Natsu,8.042857142857143,35
Just You,8.042139384116693,617
Saki,8.040816326530612,49
Let's Eat 2,8.039772727272727,176
Never Let Me Go,8.03968253968254,63
Daisuki!!,8.03921568627451,51
Galileo Suspect X,8.03896103896104,77
Forensic Heroes III,8.038461538461538,26
D.I.E. Again,8.038461538461538,26
E.U. (Emergency Unit),8.038461538461538,26
Kamen Rider Kiva,8.0375,40
A Man who was Superman,8.037234042553191,94
Journey to the West 2,8.037037037037036,27
War of the Arrows,8.036082474226804,194
The Plan Man,8.035502958579881,169
Cheese in the Trap,8.03515625,896
Seven Days: Friday - Sunday,8.033333333333333,150
Tada's Do-It-All House,8.033333333333333,30
1 Litre of Tears Special,8.03225806451613,186
Brilliant Legacy,8.031971580817052,1126
Biblia Koshodou no Jiken Techou,8.03125,96
Man on High Heels,8.030075187969924,133
Water Boys 2,8.028571428571428,35
Aishiteiru to Ittekure,8.027272727272727,55
Long Vacation,8.02659574468085,188
Beautiful Life,8.025735294117647,136
Welcome to Fortune-Telling Onmyo Shop,8.025641025641026,39
Kekkon Dekinai Otoko,8.025,100
Iron Monkey,8.025,40
Il Mare,8.024390243902438,246
"Spring, Summer, Autumn, Winter... and Spring",8.023809523809524,105
Risou no Musuko,8.023121387283236,173
Like For Likes,8.021008403361344,119
Mr. Nietzsche in the Convenience Store,8.020833333333334,48
Hwang Jin Yi,8.01968503937008,127
Puck!,8.019047619047619,105
Bromance,8.018957345971565,422
Gap Dong,8.018927444794953,317
I Love You As A Man,8.016129032258064,31
Wanted,8.015748031496063,127
Bride of the Century,8.014201183431952,845
Come! Jang Bo Ri,8.013392857142858,112
Gantz,8.012931034482758,232
Beautiful Rain ,8.011363636363637,44
Stairway to Heaven,8.011267605633803,355
Lucky Seven SP,8.010526315789473,95
A Girl & Three Sweethearts,8.010121457489879,247
Daisy,8.00943396226415,318
The Road Home,8.008928571428571,56
Windstruck,8.005274261603375,474
Smile,8.003333333333334,150
Code Blue Special,8.0,173
Awaiting,8.0,56
Rinne no Ame,8.0,107
Little Forest: Winter & Spring,8.0,28
A Violent Prosecutor,8.0,65
The Royal Tailor,8.0,124
Padiwaradda,8.0,36
Kamen Rider Fourze,8.0,27
Fist of Legend,8.0,83
Yellow Boots,8.0,53
Reply 1994 Epilogue,8.0,56
Long Love Letter,8.0,130
Modern Farmer,7.9984177215189876,316
Gokusen: The Movie,7.996437054631829,421
Assassination Classroom,7.996402877697841,139
A Hard Day,7.99438202247191,89
I Fine..Thank You..Love You,7.9935064935064934,77
11nin mo iru!,7.993243243243243,74
High School King of Savvy,7.992994746059544,571
Platina Data,7.991071428571429,112
Unfair,7.990384615384615,52
Sea Fog,7.989795918367347,49
The Wings of the Kirin,7.988095238095238,42
Heart Of Greed,7.986111111111111,36
Kogure Shashinkan,7.985714285714286,35
What's Up,7.985094850948509,369
Flowers for My Life,7.984848484848484,33
My Name is Kim Sam Soon,7.98348623853211,1090
Fuben na Benriya,7.983333333333333,60
"My Boss, My Hero",7.982536764705882,544
The Advocate: A Missing Body,7.982142857142857,28
The Warlords,7.9817073170731705,82
From Five to Nine,7.981681034482759,464
Kindaichi Shonen no Jikenbo,7.981481481481482,27
Priceless,7.979411764705882,170
The Grand Heist,7.979338842975206,121
"Love, Lies",7.975609756097561,41
Ai wa Mieru,7.975609756097561,41
